
('000000011',  'GSERD 8989',  'N/A4',  'RMS FILTER RECONDITIONING TOOL',  '',  'GSERD 8989',  '94765103',  '',  '  GSERD 8989 CONSISTS OF 457-14538-000 457-14539-000 457-14540-000',  '1AVN-1002211753',  '',  TRUE,  ''),
('000000011',  'GSERD 8989',  'N/A2',  'RMS FILTER RECONDITIONING TOOL',  '',  'GSERD 8989',  '94765068',  '',  '  GSERD 8989 CONSISTS OF 457-14538-000 457-14539-000 457-14540-000',  '1AVN-1002211754',  '',  TRUE,  ''),
('000000011',  'GSERD 8989',  'N/A',  'RMS FILTER RECONDITIONING TOOL',  '',  'GSERD 8989',  '94765036',  '',  ' CTK50/8B GSERD 8989 CONSISTS OF 457-14538-000 457-14539-000 457-14540-000',  '1AVN-1002211755',  '',  TRUE,  ''),
('000000011',  'GSERD 8989',  'N/A1',  'RMS FILTER RECONDITIONING TOOL',  '',  'GSERD 8989',  '94765068',  '',  '  GSERD 8989 CONSISTS OF 457-14538-000 457-14539-000 457-14540-000',  '1AVN-1002211756',  '1AVN-1002211756',  TRUE,  ''),
('000000011',  'GSERD 8989',  'N/A3',  'RMS FILTER RECONDITIONING TOOL',  '',  'GSERD 8989',  '94765068',  '',  '  GSERD 8989 CONSISTS OF 457-14538-000 457-14539-000 457-14540-000',  '1AVN-1002212886',  '',  TRUE,  ''),
('202976',  'MIL-I-85352',  'N/A',  'KIT DUAL CHUCK STEM GAGE',  '',  '',  '94765068',  '',  '  CAL BEFORE USE',  '1AVN-1002212947',  '',  FALSE,  ''),
('704874',  'XX62-000-35',  'N/A',  'SYRINGE VACUUM',  '',  '',  '94765068',  '',  ' OVER FLOW TOOL CABINET LOC A -3 A ',  '1AVN-1002213045',  '',  FALSE,  ''),
('704874',  'XX62-000-35',  'KIT 1',  'SYRINGE VACUUM',  '',  '',  '94765068',  '',  '  ',  '1AVN-1002213047',  '1AVN-1002211667',  FALSE,  ''),
('704874',  'XX62-000-35',  'KIT 2',  'SYRINGE VACUUM',  '',  '',  '94765068',  '',  '  ',  '1AVN-1002213048',  '1AVN-1002211668',  FALSE,  ''),
('1326913',  'HX 4 or M22520/5-01',  'N/A',  'CRIMPING TOOL ( LOC ),OVERFLOW CABINET',  '',  '',  '94765068',  '',  ' TOOL CABINET 001 KEY #25 A-2 A',  '1AVN-1002213043',  '',  FALSE,  ''),
('1331747',  'M22520/7-01',  'N/A',  'CRIMPING TOOL TERMINAL HAND',  '',  '',  '94765068',  '',  ' OVER FLOW TOOL CABINET ',  '1AVN-1002213044',  '',  FALSE,  ''),
('1506486',  'XX6504700',  'KIT 1',  'MILIPORE KIT',  '',  '',  '94765068',  '',  '  Obj ID:M6789710',  '1AVN-1002211667',  '',  FALSE,  ''),
('1506486',  'XX6504700',  'KIT 2',  'MILIPORE KIT',  '',  '',  '94765068',  '',  '  Obj ID:M6789710',  '1AVN-1002211668',  '',  FALSE,  ''),
('7120425',  '48752-1',  'N/A',  'INSERT ASSEMBLY CRIMPING TOOL;',  '',  '',  '94765068',  '',  ' ITEM IN TOOL CABINET  KEY # 25 ',  '1AVN-1002213049',  '',  FALSE,  ''),
('11301073',  '13007617-2',  'N/A',  'SHIM (SMALL),',  '',  '',  '94765068',  '',  '  ',  '1AVN-1002211780',  '',  FALSE,  '\\applicationdata\applicationdata\DATA\WFD\Pictures\011301073.JPG'),
('12439092',  'XX63 001 20',  'N/A',  '100 ML STAINLESS FUNNEL',  '',  '',  '94765068',  '',  ' TOOL CABINET KEY # 25 TOOL STORE OFFICE ',  '1AVN-1002213066',  '',  FALSE,  ''),
('12518705',  'LSHT-1',  '1',  'TEST SET ELECTRONIC SYSTEMS',  '',  '',  '2019 NO SCA ?',  '',  '  ',  '1AVN-1002211762',  '',  FALSE,  ''),
('13982868',  'AT540#7',  '3618',  'EL BRUTUS',  '',  '',  '94765103',  '',  '  ',  '1AVN-1002211166',  '',  FALSE,  ''),
('13982868',  'AT540#7',  '4953',  'EL BRUTUS',  '',  '',  '94765068',  '',  '  ',  '1AVN-1002211184',  '',  FALSE,  ''),
('13982868',  'AT540#7',  '3622',  'EL BRUTUS',  '',  '',  '94765068',  '',  '  ',  '1AVN-1002211571',  '',  FALSE,  ''),
('13982868',  'AT540#7',  '5072',  'EL BRUTUS',  '',  '',  '94765068',  '',  '  ',  '1AVN-1002211588',  '',  FALSE,  ''),
('13982868',  'AT540#7',  '3621',  'EL BRUTUS',  '',  '',  '94765068',  '',  '  ',  '1AVN-1002211591',  '',  FALSE,  ''),
('13982868',  'AT540#7',  '5012',  'EL BRUTUS',  '',  '',  '94765068',  '',  '  ',  '1AVN-1002211593',  '',  FALSE,  ''),
('13982868',  'AT540#7',  '5018',  'EL BRUTUS',  '',  '',  '94765068',  '',  '  ',  '1AVN-1002211594',  '',  FALSE,  ''),
('13982868',  'AT540#7',  '3628',  'EL BRUTUS',  '',  '',  '94765068',  '',  '  ',  '1AVN-1002211595',  '',  FALSE,  ''),
('13982868',  'AT540#7',  '5068',  'EL BRUTUS',  '',  '',  '94765068',  '',  '  ',  '1AVN-1002211596',  '',  FALSE,  ''),
('13982869',  'AT540#5',  '10597',  'EL BRUTUS',  '',  '',  '94765036',  '',  '  ',  '1AVN-1002211223',  '',  FALSE,  ''),
('13982869',  'AT540#5',  '10553',  'EL BRUTUS',  '',  '',  '94765068',  '',  '  ',  '1AVN-1002211324',  '',  FALSE,  ''),
('13982869',  'AT540#5',  '10554',  'EL BRUTUS',  '',  '',  '94765070',  '',  ' FOR REMOVAL OF #8 TO 1/4 IN.SCREWS AS PER MINUTE RAISED BY MR SHEAD ON 10JUL19 ITEM HAS MOVED FROM 068 TO 070 12/07/2019 AT',  '1AVN-1002211567',  '',  FALSE,  ''),
('13982869',  'AT540#5',  '10555',  'EL BRUTUS',  '',  '',  '94765068',  '',  '  ',  '1AVN-1002211570',  '',  FALSE,  ''),
('14288248',  'PRH57',  'TOOL CABINET KEY # 25',  'PLIERS RETAINING RING',  '',  '',  '94765068',  '',  '  ',  '1AVN-1002212228',  '',  FALSE,  '\\applicationdata\applicationdata\DATA\WFD\Pictures\1 Avn Regt\014288248.jpg'),
('14379670',  '13009771',  '18876',  'PIN ALIGNMENT TOOL',  '',  '',  '94765068',  '',  '  ',  '1AVN-1002211869',  '',  FALSE,  '\\applicationdata\applicationdata\DATA\WFD\Pictures\014379670.JPG'),
('14628126',  '13007741',  '13007741',  'FIX LAUNCH SHOE',  '',  '',  '94765068',  '',  '  ITEM HAS BEEN PLACED INTO WFD TO ASSIST IN FUTURE STOCKTAKES',  '1AVN-1002212170',  '',  FALSE,  '\\applicationdata\applicationdata\DATA\WFD\Pictures\014628126.JPG'),
('014650123',  'ATS260',  '70071',  'ACOUSTIC TEST SET',  '',  '',  '94765036',  '',  '  ',  '1AVN-2020',  '',  FALSE,  ''),
('014650123',  'ATS260',  '70072',  'ACOUSTIC TEST SET',  '',  '',  '94765068',  '',  '  ',  '1AVN-2021',  '',  FALSE,  ''),
('014650123',  'ATS260',  '70073',  'ACOUSTIC TEST SET',  '',  '',  '94765103',  '',  '  ',  '1AVN-1002211301',  '',  FALSE,  '\\applicationdata\applicationdata\DATA\WFD\Pictures\014650123.JPG'),
('014650123',  'ATS260',  '70069',  'ACOUSTIC TEST SET',  '',  '',  '94765068',  '',  '  ',  '1AVN-1002211302',  '',  FALSE,  ''),
('014650123',  'ATS260',  '70074',  'ACOUSTIC TEST SET',  '',  '',  '94765068',  '',  '  ',  '1002212171',  '',  FALSE,  ''),
('014650123',  'ATS260',  '70063',  'ACOUSTIC TEST SET',  '',  '',  '94765070',  '',  '  ',  '1AVN-1002212171',  '',  FALSE,  ''),
('014650123',  'ATS260',  '70060',  'ACOUSTIC TEST SET',  '',  '',  '94765068',  '',  '  ',  '1AVN-1002212172',  '',  FALSE,  ''),
('14696407',  'FLUKE-753',  '3518009',  'TEST SET ELECTRICAL METER',  '',  '',  '94765068',  '',  'NOTE AWAITING PART FOR USE ONCE COMPLETED REQUIRED TO TAKE BOM .  ITEM RECEIVED MISSING PART FOR TASK  NOTE GEOFF TALBOT ALL OVER IT ?',  '1AVN-1002213071',  '',  FALSE,  '\\d85userdata.dpe.protected.mil.au\wa\wayne.steffensen\My Documents\My Pictures\FLUKE 753.jpg'),
('14788113',  'N/A',  'N/A',  'BATTERY REMOVAL TOOL',  '',  '',  '',  '',  '  ',  '1AVN-1002213096',  '',  FALSE,  ''),
('15047036',  '181876-13415374',  'N/A',  'SHIM (LARGE),',  '',  '',  'X CLASS',  '',  '  ',  '1AVN-1002211781',  '',  FALSE,  ''),
('15434665',  '13043093',  '',  'HELLFIRE MISSILE DOME REMOVAL',  '',  '',  '',  '',  '  ',  '1AVN-1002211444',  '',  FALSE,  ''),
('15435559',  'TIFZX',  '12190785651',  'LEAK DETECTOR',  '',  '',  '94765068',  '',  'cond report 043-19 released 26/3/19 ATWFD ORDER 24632 FOR REPLACEMENT BY CAROL. AB189 TS RSG 19-024 RAISED FOR DISPOSAL. 27/3/19 AT TOOL STORE OFFICE ',  '1AVN-1002211866',  '',  FALSE,  ''),
('15457906',  'T7A7766164',  'N/A',  'HELLFIRE MISSILE CRADLE ASSEMBLY',  '',  '',  '',  '',  '  ',  '1AVN-1002211445',  '',  FALSE,  ''),
('15502331',  'DMC1000-20R',  'N/A',  'DMC CUSTOM TOOL KIT',  '',  '',  '94765121',  '',  'ITEM HAS NOT BEEN RELEASE FOR USE AND MOVED TO HNGR 6 LOCATION A-4D A-4D ',  '1AVN-1002213152',  '',  FALSE,  ''),
('15502331',  'DMC1000-20R',  'N/A',  'DMC CUSTOM TOOL KIT',  '',  '',  '94765104',  '',  'ITEM HAS NOT BEEN RELEASE FOR USE AND MOVED TO HNGR 6 LOCATION A-4D  ',  '1AVN-1002213177',  '',  FALSE,  ''),
('15502331',  'DMC1000-20R',  'N/A',  'DMC CUSTOM TOOL KIT',  '',  '',  '94765070',  '',  'ITEM HAS NOT BEEN RELEASE FOR USE AND MOVED TO HNGR 6 LOCATION A-4D  ',  '1AVN-1002213178',  '',  FALSE,  ''),
('15661171',  'TL-502-909',  '',  'DREMMEL KIT',  '',  '',  '',  '',  '  ',  '1AVN-1002211800',  '',  FALSE,  ''),
('41533423',  '5662012',  '315804975',  'TORQUE WRENCH 5-25Nm',  '',  '',  '',  '',  '  ',  '1AVN-1002211926',  '',  FALSE,  ''),
('41533423',  '5662012',  '315804973',  'TORQUE WRENCH 5-25Nm',  '',  '',  '',  '',  '  ',  '1AVN-1002211927',  '',  FALSE,  ''),
('41533423',  '5662012',  '415800017',  'TORQUE WRENCH 5-25Nm',  '',  '',  '',  '',  '  ',  '1AVN-1002211928',  '',  FALSE,  ''),
('123114878',  'AFG0457135',  'N/A',  'Locking Tool Harness Retention Tool',  '',  '2089',  '94765068',  '',  '  ',  '1AVN-1915',  '',  FALSE,  '\\applicationdata\applicationdata\DATA\WFD\Pictures\1 Avn Regt\Locking Tool Harness.JPG'),
('123114878',  'AFG0457135',  'N/A',  'Locking Tool Harness Retention Tool',  '',  '2089',  '94765068',  '',  '  ',  '1AVN-1002212348',  '',  FALSE,  '\\applicationdata\applicationdata\DATA\WFD\Pictures\123114878.JPG'),
('123544508',  'TA3015G001',  '13',  'COMPLETE BOROSCOPE SET - MTR',  '',  'GSERD 3015',  '94765068',  '',  'ITEM WAS FOUND U/S ON SHELF NO MEMBER FROM TOOL STORE WAS INFORMED JUST RETURNED TO STOCK ? AA MEMBER HARRY WILL RAISE AE061  AS REQUIRED SO TO GET ITEM REPAIRED  ',  '101234366',  '',  FALSE,  ''),
('123544508',  'TA3015G001',  '14',  'COMPLETE BOROSCOPE SET - MTR',  '',  'GSERD 3015',  '94765068',  '',  '  Cable from kit PN1F4D5-15 loaned to Airbus Oakey 091219   ',  '101234367',  '',  FALSE,  ''),
('123544508',  'TA3015G001',  '16',  'COMPLETE BOROSCOPE SET - MTR',  '',  'GSERD 3015',  '94765068',  '',  '  ',  '102604745',  '',  FALSE,  ''),
